Lead_ID,Date,Channel,Lead,Qualified,Demo_Booked,Trial_Started,Customer,Campaign_Cost_INR,Revenue_INR
LEAD10001,2025-03-14,Organic Search,1,0,0,0,0,60,0
LEAD10002,2025-05-31,Email,1,0,0,0,0,90,0
LEAD10003,2025-04-12,Organic Search,1,1,1,1,1,60,2176
LEAD10004,2025-06-16,Instagram,1,1,1,0,0,280,0
LEAD10005,2025-04-11,Instagram,1,1,1,0,0,280,0
LEAD10006,2025-06-19,Email,1,1,1,1,0,90,0
LEAD10007,2025-01-30,Organic Search,1,1,0,0,0,60,0
LEAD10008,2025-02-19,Instagram,1,1,1,1,0,280,0
LEAD10009,2025-05-15,Google Ads,1,0,0,0,0,520,0
LEAD10010,2025-04-11,Facebook,1,1,0,0,0,300,0
LEAD10011,2025-01-27,Instagram,1,0,0,0,0,280,0
LEAD10012,2025-03-17,Instagram,1,1,1,1,0,280,0
LEAD10013,2025-03-12,Email,1,1,1,1,0,90,0
LEAD10014,2025-04-04,Organic Search,1,1,1,1,1,60,3101
LEAD10015,2025-03-29,YouTube,1,1,0,0,0,350,0
LEAD10016,2025-04-21,Instagram,1,1,1,1,0,280,0
LEAD10017,2025-01-11,Email,1,1,1,1,1,90,3698
LEAD10018,2025-01-07,YouTube,1,1,0,0,0,350,0
LEAD10019,2025-05-20,YouTube,1,0,0,0,0,350,0
LEAD10020,2025-02-11,Organic Search,1,0,0,0,0,60,0
LEAD10021,2025-06-26,Organic Search,1,1,0,0,0,60,0
LEAD10022,2025-03-08,Instagram,1,0,0,0,0,280,0
LEAD10023,2025-05-28,YouTube,1,0,0,0,0,350,0
LEAD10024,2025-05-29,Email,1,0,0,0,0,90,0
LEAD10025,2025-01-24,Organic Search,1,1,1,1,0,60,0
LEAD10026,2025-03-24,Organic Search,1,0,0,0,0,60,0
LEAD10027,2025-06-20,Organic Search,1,1,1,1,0,60,0
LEAD10028,2025-06-30,Email,1,0,0,0,0,90,0
LEAD10029,2025-06-23,YouTube,1,1,1,1,0,350,0
LEAD10030,2025-02-27,Instagram,1,1,1,1,1,280,3990
LEAD10031,2025-06-25,Facebook,1,1,0,0,0,300,0
LEAD10032,2025-03-22,Organic Search,1,0,0,0,0,60,0
LEAD10033,2025-03-26,Organic Search,1,0,0,0,0,60,0
LEAD10034,2025-04-20,YouTube,1,0,0,0,0,350,0
LEAD10035,2025-03-19,Email,1,1,1,1,1,90,2098
LEAD10036,2025-04-04,Facebook,1,1,0,0,0,300,0
LEAD10037,2025-04-04,Organic Search,1,0,0,0,0,60,0
LEAD10038,2025-06-15,YouTube,1,1,1,0,0,350,0
LEAD10039,2025-01-22,Organic Search,1,0,0,0,0,60,0
LEAD10040,2025-01-06,Instagram,1,1,1,1,1,280,4216
LEAD10041,2025-05-15,Facebook,1,1,0,0,0,300,0
LEAD10042,2025-05-27,YouTube,1,1,0,0,0,350,0
LEAD10043,2025-02-09,Google Ads,1,1,0,0,0,520,0
LEAD10044,2025-04-20,Google Ads,1,0,0,0,0,520,0
LEAD10045,2025-03-09,Facebook,1,1,1,1,1,300,3561
LEAD10046,2025-06-20,YouTube,1,0,0,0,0,350,0
LEAD10047,2025-02-18,Organic Search,1,1,0,0,0,60,0
LEAD10048,2025-01-12,Facebook,1,1,0,0,0,300,0
LEAD10049,2025-04-10,Email,1,0,0,0,0,90,0
LEAD10050,2025-02-16,Organic Search,1,1,1,1,0,60,0
LEAD10051,2025-06-04,Organic Search,1,1,1,0,0,60,0
LEAD10052,2025-01-15,Google Ads,1,0,0,0,0,520,0
LEAD10053,2025-06-19,Organic Search,1,1,1,1,1,60,3326
LEAD10054,2025-01-05,Organic Search,1,1,0,0,0,60,0
LEAD10055,2025-03-21,Email,1,1,0,0,0,90,0
LEAD10056,2025-04-26,Google Ads,1,1,1,1,0,520,0
LEAD10057,2025-03-06,YouTube,1,0,0,0,0,350,0
LEAD10058,2025-06-15,Organic Search,1,0,0,0,0,60,0
LEAD10059,2025-05-06,YouTube,1,0,0,0,0,350,0
LEAD10060,2025-04-10,Instagram,1,1,0,0,0,280,0
LEAD10061,2025-02-12,YouTube,1,0,0,0,0,350,0
LEAD10062,2025-06-05,Organic Search,1,1,0,0,0,60,0
LEAD10063,2025-01-09,Google Ads,1,1,1,1,1,520,3649
